question,context,answer
Why is glycosylation important in the production of recombinant fVIII?,"Apart from that, glycosylation is regarded as one of the most important and influencing quality affecting the biological activity, serum half-life and immunogenicity of the fVIII.","Glycosylation is important in the production of recombinant fVIII because it affects the biological activity, serum half-life, and immunogenicity of the fVIII."
Why is it important to understand and reduce the risk of protein aggregates in therapeutic protein products?,"Given the potential clinical implications of protein aggregates, it is important to understand these issues and to reduce the risk to product quality for every therapeutic protein product.",It is important to understand and reduce the risk of protein aggregates in therapeutic protein products because of their potential clinical implications.
What is the relationship between long-term glycemic control and FVIII level in the context of AIS?,"While hyperglycemia and FVIII level are associated in the acute phase of AIS, long-term glycemic control before or subsequent to AIS was unrelated to FVIII level. Our results suggest that these stroke risk factors are independent of each other and that FVIII level cannot be modified by controlling diabetes.",Long-term glycemic control before or subsequent to AIS was unrelated to FVIII level.
What is the effect of a consecutive low dose of aPCC as short-term prophylaxis?,"Initial AHA treatment with aPCC proved to be highly effective, but a consecutive low dose as short-term prophylaxis seems to demonstrate a significant reduction in bleeding relapses maintaining safety.",A consecutive low dose of aPCC as short-term prophylaxis seems to demonstrate a significant reduction in bleeding relapses while maintaining safety.
What factors excluded almost half of the patient cohort from gene therapy trials?,"We emphasize that almost half of our patient cohort was excluded primarily due to psychosocial factors, some of which are clearly modifiable, thus constituting leverage points that are able to increase gene therapy adoption.","Almost half of the patient cohort was excluded primarily due to psychosocial factors, some of which are clearly modifiable."
What can cause false low activity values for FVIII and FIX?,"Our study has confirmed that rivaroxaban causes false low activity values for FVIII and FIX, and this effect was seen by most testing laboratories.",Rivaroxaban causes false low activity values for FVIII and FIX.
What type of cells show structural and functional alterations in the course of COVID-19?,"Our case report supports the view that adventitial artery microcirculation could be a major target of vascular inflammation in the course of COVID-19; while not appearing to be directly infected by the virus, endothelial cells show a spectrum of structural and functional alterations that are consistent with the cardiovascular complications observed in people infected with SARS-CoV-2.",Endothelial cells show a spectrum of structural and functional alterations.
What factors influence the effectiveness of bacterial reduction in hemocomponents treated with UV light and riboflavin?,"This study demonstrates that UV light treatment coupled with riboflavin is able to reduce an important number of pathogens in hemocomponents; however, the bacterial reduction is influenced by the nature and quantity of the pathogen.",The bacterial reduction is influenced by the nature and quantity of the pathogen.
Which coagulation factors were identified as the strongest risk factors for increased VT risk?,"To conclude, in this study, increased levels of all tested coagulation factors were associated with an increased VT risk, with FVIII and VWF levels being the strongest identified risk factors.",FVIII and VWF levels were identified as the strongest risk factors for increased VT risk.
What factors may be associated with the slower rate of healing of gastric ulcers with advancing age in rats?,The study shows that the mechanism underlying the slower rate of healing of gastric ulcer with advancing age in rats may be associated with reduced epithelial cell proliferation and angiogenic activities.,Reduced epithelial cell proliferation and angiogenic activities.
What is the role of FVIII in relation to cardiovascular disease (CVD) risk?,"The role of FVIII as a risk factor for incident CHD4-7 and stroke8, 9 has been suggested in several prospective studies of healthy middle-aged and older adults, though it remains less clear whether the FVIII association is independent of other CVD risk factors.47 FVIII is strongly correlated with atherosclerosis-related risk factors such as age, BMI, diabetes, and other coagulation and inflammatory biomarkers.3 Results from our cross-sectional analyses in JHS confirm age, diabetes, triglycerides, and CRP as the major correlates of higher FVIII in AAs.","FVIII is strongly correlated with atherosclerosis-related risk factors such as age, BMI, diabetes, and other coagulation and inflammatory biomarkers."
What should be included in the generation of empirical Bayes estimates when performing model-based TDM in the presence of IOV?,"When performing model‐based TDM in the presence of IOV, the portion of unexplained variability related to IOV should be included in the generation of the empirical Bayes estimates, but this portion of unexplained variability should not be included in the individual parameter used to calculate the forecast dose.",The portion of unexplained variability related to IOV should be included in the generation of the empirical Bayes estimates.
What is surface electromyography used for in patients with haemophilia?,Surface electromyography to assess muscle function proved to be a safe and effective quantitative tool to assess muscle function in patients with haemophilia.,Surface electromyography is used to assess muscle function in patients with haemophilia.
What is the role of L-SIGN in the infection process of SARS-CoV-2?,"Our data demonstrate that L-SIGN is a SARS-CoV-2 receptor that interacts with high-mannose–type N-glycans on the viral spike protein. L-SIGN was highly expressed on LSECs and on LECs in the lymph node of human biopsy or autopsy samples. We detected SARS-CoV-2 in LSECs from COVID-19 autopsy liver samples. Most importantly, our data demonstrate that L-SIGN mediates infection of authentic SARS-CoV-2 into endothelial cells, which was correlated with their procoagulant activities.","L-SIGN is a SARS-CoV-2 receptor that interacts with high-mannose–type N-glycans on the viral spike protein and mediates infection of authentic SARS-CoV-2 into endothelial cells, which is correlated with their procoagulant activities."
What factors are associated with an increased risk of inhibitor development in non-severe hemophilia A patients?,The risk of inhibitor development was increased for patients who were treated with high FVIII doses (> 45 IU/kg per dose). Surgical interventions were also associated with an increased risk of inhibitor development.,The factors associated with an increased risk of inhibitor development in non-severe hemophilia A patients are high FVIII doses (> 45 IU/kg per dose) and surgical interventions.
What were the main reasons for stopping activities among individuals with hemophilia B?,The main reasons for stopping activities were fear/risk of bleeding or contact-related bleeding.,The main reasons for stopping activities were fear/risk of bleeding or contact-related bleeding.
What does the SQ-ISHI measure?,"The SQ‐ISHI is a content‐validated, treatment satisfaction measure for IV and SC treatments for HA, which allows investigators to assess aspects of satisfaction with both types of treatment that are of importance to this population.","The SQ‐ISHI is a content‐validated, treatment satisfaction measure for IV and SC treatments for HA."
What is the general outcome of post-operative treatment in haemophilic knee arthropathy?,Hence we would like conclude that the post-operative outcome in haemophilic knee arthropathy may not be as good as the outcomes seen in regular cases but there is significant improvement in functional outcome and quality of life.,The post-operative outcome in haemophilic knee arthropathy may not be as good as the outcomes seen in regular cases but there is significant improvement in functional outcome and quality of life.
What therapeutic effect was demonstrated in the mouse model of hemophilia B?,"In conclusion, we have demonstrated a therapeutic effect of AAV-delivered, CRISPR/Cas9-mediated, gene targeting in a mouse model of hemophilia B. A single injection of dual AAV gene-targeting vectors in both neonatal and adult mice achieved robust and sustained expression of hFIX that was clinically beneficial.","AAV-delivered, CRISPR/Cas9-mediated, gene targeting demonstrated a therapeutic effect in a mouse model of hemophilia B."
What novel mechanisms of action does dydio exert according to the study?,"Taken together, dydio displayed antimetastasis of HCC both in vivo and in vitro via modulating platelet function and FVIIII level (Figure 7). Thus, in addition to direct action toward tumor cells, our study demonstrated that dydio exerts novel mechanisms of antitumor action.",Dydio exerts novel mechanisms of antitumor action by modulating platelet function and FVIIII level.
What are some targets of rebalancing therapies for hemophilia?,"These strategies aim to rebalance the hemostatic system (i.e.: targeting natural anticoagulants such as protein C, protein S, antithrombin, and tissue factor pathway inhibitor) and are reviewed in more detail in previous publications [12,13].","Some targets of rebalancing therapies for hemophilia include natural anticoagulants such as protein C, protein S, antithrombin, and tissue factor pathway inhibitor."
What leads to thrombin generation in the absence of FXI?,"In conclusion, we demonstrate that in the absence of FXI, activation of FXII by EA or long-chain polyphosphates leads to thrombin generation via FIX activation by PKa.",Activation of FXII by EA or long-chain polyphosphates leads to thrombin generation via FIX activation by PKa.
What factor shows a consistent but weak increase in FVIII levels with age?,"We conclude that for the assessment of FVIII levels in patients with mild or moderate haemophilia A neither the ABO, nor the VWF level, have to be taken into account. Age has to be considered a minor modification factor, as there is a consistent, but weak, increase in FVIII levels with age. These aspects are important in daily practice, when a diagnosis of non-severe haemophilia A has to be made.","Age has to be considered a minor modification factor, as there is a consistent, but weak, increase in FVIII levels with age."
Why is it important to regularly compare a new aPTT reagent/instrument combination with another one?,"In our opinion, when using a new aPTT reagent/ instrument combination, it is important to regularly compare this combination with another one that gives acceptable results with all concentrations.",It is important to regularly compare a new aPTT reagent/instrument combination with another one to ensure it gives acceptable results with all concentrations.
What is the significance of developing robust quantitative methods for detecting intron 1 and intron 22 inversions?,"Intron 1 and intron 22 inversions are present in almost onehalf of patients with severe HA. Therefore, the development of robust quantitative methods for detection of these inversions are of major importance.",The development of robust quantitative methods for detecting intron 1 and intron 22 inversions is of major importance because these inversions are present in almost one-half of patients with severe HA.
What are key factors in achieving effective holistic care for AHA patients?,Key factors in achieving effective holistic care are education and training for healthcare personnel in non-specialist hospitals and collaboration between hemophilia specialists and physicians in other specialties.,Education and training for healthcare personnel in non-specialist hospitals and collaboration between hemophilia specialists and physicians in other specialties.
Is renal transplant possible in hemophilic patients?,"Our experience, together with those previously reported, demonstrates that, although challenging, renal transplant in hemophilic patients is possible.","Yes, renal transplant in hemophilic patients is possible."
How can additional training and education of patients and their families help in the context of personalized treatment plans?,"Some additional training and education of patients and their families are likely to reduce this confusion, and therefore prevent accidental non-adherence.",Additional training and education of patients and their families are likely to reduce confusion and therefore prevent accidental non-adherence.
What are some of the diseases that novel therapies targeting VWF could help treat?,"Further investigation is important as the development of novel therapies targeting VWF has been suggested to help in a broad range of diseases. Some possible goals of these treatment options include, but are not limited to, attenuation of metastasis, reduction in thrombosis, thromboinflammation and atherosclerosis, prevention of myocardial infarction and stroke and intervention in infection and sepsis.","Some possible goals of these treatment options include, but are not limited to, attenuation of metastasis, reduction in thrombosis, thromboinflammation and atherosclerosis, prevention of myocardial infarction and stroke and intervention in infection and sepsis."
What is one reason why patients preferred EHL over SHL products?,"On the other hand, the overwhelming majority of switchers voiced a preference for EHL over SHL products at the end-of-study visit, providing compelling evidence that current PROM scores do not reflect patients’ responses to novel therapy in their entirety.",The overwhelming majority of switchers voiced a preference for EHL over SHL products at the end-of-study visit.
What potential use does serum TNF-α have in the context of severe hemophilia A?,This study provides data on the potential of using serum TNF-α levels in differentiating between high and low inhibitor levels in severe hemophilia A.,Serum TNF-α levels can potentially be used to differentiate between high and low inhibitor levels in severe hemophilia A.
What is the role of the WT ZAP-70 allele in controlling T cell activation?,"Although both the weakly activating and WT alleles bind similarly to the phospho-ζ-chain, the presence of a WT ZAP-70 allele in this context was able to maintain an appropriate balance in controlling T cell activation.",The presence of a WT ZAP-70 allele was able to maintain an appropriate balance in controlling T cell activation.
What is the potential effect of danger signals from bleeding on the anti-FVIII antibody response?,"We have demonstrated the potential effect of danger signals from bleeding on the anti-FVIII antibody response in a rat model of severe HA, similar to what has been hypothesized in humans.",The potential effect of danger signals from bleeding on the anti-FVIII antibody response is an increased risk of inhibitor development.
What is suggested as a safe alternative treatment option for patients with acquired haemophilia A who are not responding to standard treatment?,While we are unable to conclude that RCVP or RCV is superior to other regimens we suggest that it is a safe alternative treatment option in patients with acquired haemophilia A who are not responding to standard treatment with no additional toxicities observed.,RCVP or RCV is suggested as a safe alternative treatment option for patients with acquired haemophilia A who are not responding to standard treatment.
What could healthcare policy makers do to make both AryoSeven® and FEIBA equally cost-effective?,"It is important to emphasize that based on the results of the current study, due to higher efficacy of FEIBA, policy makers could decide to reduce FEIBA price to the extent that both medicines would be equally considered cost-effective.",Policy makers could decide to reduce FEIBA price to the extent that both medicines would be equally considered cost-effective.
"What should be considered in the differential diagnosis of an expanding mass with an osteolytic lesion in young, predisposed male dogs?","A bone haemophilic pseudotumour should be considered in the differential diagnosis of an expanding mass with an osteolytic lesion, especially in young, predisposed male dogs.","A bone haemophilic pseudotumour should be considered in the differential diagnosis of an expanding mass with an osteolytic lesion in young, predisposed male dogs."
What are the characteristics of stable atherosclerotic plaques according to immunohistochemical analysis?,"Thus, the analysis of immunohistochemical and morphometric parameters of atherosclerotic plaques of CA revealed typical structural and molecular features of stable and unstable forms of plaques. According to immunohistochemical analysis, stable plaques are characterized by enhanced expression of collagen IV and reduced expression of MMP-2 and MMP-9 in comparison with the unstable forms. Low density of newly formed vessels evaluated by the expression of vascular markers CD31, CD34, and factor VIII also differed in stable and unstable plaques.","Stable plaques are characterized by enhanced expression of collagen IV and reduced expression of MMP-2 and MMP-9 in comparison with the unstable forms. Low density of newly formed vessels evaluated by the expression of vascular markers CD31, CD34, and factor VIII also differed in stable and unstable plaques."
What is one likely outcome for gene therapy in hemophilia?,"Regardless of such ongoing technical issues, what seems very likely is that gene therapy for hemophilia will not yet mean the end of phenotypic testing (Table 1)",Gene therapy for hemophilia will not yet mean the end of phenotypic testing.
What is one potential benefit of initiating emicizumab in haemophilia patients?,This observational study provides real-world information of the cost benefits of initiating emicizumab in haemophilia patients with and without inhibitors. This information should help inform on payer and healthcare system decisions about the use emicizumab.,One potential benefit of initiating emicizumab in haemophilia patients is the cost benefits.
What is ADAM17 and its role in ACE2 shedding?,ADAM17 (A disintegrin and metalloproteinase 17) is considered to be the main sheddase for ACE2 and is activated by SARS-CoV; other sheddases may also contribute to inducible shedding.,ADAM17 (A disintegrin and metalloproteinase 17) is considered to be the main sheddase for ACE2 and is activated by SARS-CoV.
What is the purpose of using the WAPPS-Hemo population-based PK modeling approach?,"In this study, we compared and found a robust correlation of a single subject PK assessment of simoctocog alfa over six time points over 48 h with a practical and less burdensome population-based PK modelling by WAPPS-Hemo using two samples post-infusion. Overall, the population-based approach generated a slightly longer mean t1/2 estimate, but the correlation between the two methods was good independently of the time points that were used for the WAPPS-Hemo calculation. The same was true for the weight-normalized AUC. Importantly, due to the small cohort, the calculated confidence intervals are relatively wide, but still these findings further indicate the value of the population-based tool in the clinical setting and follow-up of patients on prophylaxis.",The purpose of using the WAPPS-Hemo population-based PK modeling approach is to provide a practical and less burdensome method for PK assessment in the clinical setting and follow-up of patients on prophylaxis.
What is the main advantage of using a personal device in mHealth studies?,"Despite this debate, there is still no unambiguous settlement on the use of personal devices. However, this strategy, which also goes by the name Bring Your Own Device, has been unquestionably identified as the preferable solution during this app’s development process. This option is not exempt from potential shortcomings associated with the need to develop apps that are compatible with a wide range of systems and security settings, the potential selection bias that excludes population segments who do not own a smartphone, and the impossibility of locking down the device and maximizing the methodological accuracy. Nevertheless, a personal device presents one major advantage that counterbalances all of the previous shortcomings, as it enhances the convenience for patients, potentially reducing their burden and adopting a pragmatic, real-world approach that replicates a setting more familiar to all the participants.","A personal device enhances the convenience for patients, potentially reducing their burden and adopting a pragmatic, real-world approach that replicates a setting more familiar to all the participants."
What is the nonsense-mediated mRNA decay (NMD) pathway responsible for?,"One of these mechanisms is the nonsense-mediated mRNA decay (NMD) pathway, which degrades mRNAs containing premature termination codons (PTC).",The nonsense-mediated mRNA decay (NMD) pathway is responsible for degrading mRNAs containing premature termination codons (PTC).
What is required for salt tolerance and higher affinity for certain proteins in polymethacrylate-based strong cation-exchange resins?,∙ These experiments confirmed that the presence of sulfate group is required for salt tolerance and higher affinity for certain proteins.,The presence of sulfate group is required for salt tolerance and higher affinity for certain proteins.
What are the most common comorbidities among persons with hemophilia A (PwHA)?,The most common comorbidities were arthritis and hepatitis C.,The most common comorbidities were arthritis and hepatitis C.
What is the main concerning adverse event associated with all anticoagulants?,Hemorrhage is the main concerning adverse event with all anticoagulants.,Hemorrhage is the main concerning adverse event with all anticoagulants.
What is the first line therapy for compartment syndrome in hemophilic patients?,"Compartment syndrome is luckily an uncommon complication in hemophilic patients. It occurs when a bleeding determines a critical increase in blood pressure within a confined osseo-fascial compartment. The subsequent decline in perfusion pressure can lead to irreversible tissue damage and necrosis. The first line therapy is the replacement therapy and, if there is no rapid improvement, a surgical fasciotomy is required.",The first line therapy is the replacement therapy.
What role does plasmin play in the degradation of von Willebrand factor (VWF)?,"Plasmin is a non-specific protease that, besides fibrin, also cleaves fibrinogen and VWF [25]. The conversion of plasminogen to plasmin is mediated by tissue- (t-PA) or urokinase-type plasminogen activator (u-PA). Binding to fibrin dramatically increases t-PA-, but not u-PA-mediated plasminogen activation [26, 27]. While t-PA is the principal activator of intravascular fibrinolysis, u-PA is predominantly involved in extracellular proteolysis relevant to cell migration and tissue remodeling. Importantly, u-PA expression may be upregulated in cancer cells [28, 29]. In this regard, it is noteworthy that we also measured increased plasma levels of u-PA (1178, 1589, and 1642 pg/mL) in the same three plasma samples that were used for analysis of PAP complexes (Fig. 3c, Table 2). In comparison, u-PA plasma levels were 280–413 pg/mL in patients 1, 2, and 6. Excessive activation of the fibrinolytic system through overexpression of u-PA has been observed in patients with AL amyloidosis, but not in those with MM [30]. It is tempting to speculate that aberrant expression of u-PA by bone marrow plasma cells contributed to AVWS in our patient by promoting plasmin-mediated VWF degradation.",Plasmin is a non-specific protease that cleaves fibrinogen and von Willebrand factor (VWF). The conversion of plasminogen to plasmin is mediated by tissue- (t-PA) or urokinase-type plasminogen activator (u-PA). Excessive activation of the fibrinolytic system through overexpression of u-PA can promote plasmin-mediated VWF degradation.
What are some types of lipids used in lipid nanoparticle–mRNA formulations?,"By employing diverse synthetic strategies, we prepared many classes of ionizable lipids including lipid-like molecules, biodegradable lipids, chemotherapy drug-derived amino lipids, biomimetic phospholipids and glycolipids, and vitamin-derived ionizable lipids that can efficiently deliver mRNAs in vitro and in vivo when formulated into lipid nanoparticles.","Some types of lipids used in lipid nanoparticle–mRNA formulations include lipid-like molecules, biodegradable lipids, chemotherapy drug-derived amino lipids, biomimetic phospholipids and glycolipids, and vitamin-derived ionizable lipids."
What factors are associated with low EQ-5D utility scores in patients with haemophilia in China?,"Low HRQoL of patients with haemophilia is evident in China as measured by the ED-5D- 5L. Older age (>25 years), two or more target joints, not working, low levels of knowledge of the disease and borrowing money to pay for medical treatments are associated with the low EQ-5D utility scores.","Older age (>25 years), two or more target joints, not working, low levels of knowledge of the disease and borrowing money to pay for medical treatments are associated with the low EQ-5D utility scores."
What is commutability in the context of laboratory assays?,"Constructed samples that behave in a similar way to patient samples are said to be commutable, where commutability is defined as the “ability of a material to have inter-assay properties comparable to the properties demonstrated by authentic clinical samples when measured by more than one analytical method”.",Commutability is defined as the “ability of a material to have inter-assay properties comparable to the properties demonstrated by authentic clinical samples when measured by more than one analytical method”.
What is one potential benefit of treating patients with EHL rFVIIIFc/rFIXFc?,"This study suggests that treating patients with EHL rFVIIIFc/rFIXFc can positively impact patient engagement in physical activity, while still maintaining good bleed control compared to patients on conventional rFVIII/rFIX.","Treating patients with EHL rFVIIIFc/rFIXFc can positively impact patient engagement in physical activity, while still maintaining good bleed control."
What is one potential application of ancestral sequence reconstruction (ASR) in pharmaceutical development?,"ASR has enabled studies of molecular evolution of numerous gene products, including hormone receptors,39,40 metabolic enzymes,41 oxidases,42 and coagulation proteins,14,29 as well as phenylalanine/ tyrosine ammonia-lyases, for pharmaceutical development.43 Investigations of resurrected proteins have revealed insights into mechanisms of evolution and epistasis, emerging complexity within enzyme systems, and global trends of diminishing thermostability and promiscuity of enzymes.43,44 Furthermore, this expanding field enables identification of sequence determinants responsible for novel biochemical functions for therapeutic protein engineering due to the limited number of replacements between branch points.",One potential application of ancestral sequence reconstruction (ASR) in pharmaceutical development is the identification of sequence determinants responsible for novel biochemical functions for therapeutic protein engineering.
What is a key factor that people with hemophilia A (PwHA) value in their treatment?,"People with and without inhibitors prefer to receive treatment via a SC injection compared to an IV infusion. However, for PwHA, efficacy is key; they value a reduction in the annual bleed rate.",PwHA value a reduction in the annual bleed rate.
What blood group is associated with a reduced risk of inhibitor development in patients with severe hemophilia A?,"In conclusion, this study provides further support to the role of O blood group in reducing the risk of inhibitor development in patients with severe hemophilia A.",O blood group
What is octanate® used for?,"Over the past 20 years, the safety and efficacy of octanate® in the prevention and treatment of bleeding in patients with severe haemophilia A have been demonstrated consistently in clinical studies. Available data support the use of octanate® in the treatment of haemophilia A in a variety of populations, including previously treated adults, adolescents and children, as well as PUPs.",Octanate® is used for the prevention and treatment of bleeding in patients with severe haemophilia A.
What are the two most common genetic polymorphisms known to increase the risks of thromboembolism?,"For example, it would be very important to better explain the mortality rate of this virus, to genotype all subjects who died from COVID-19 for factor V Leiden (FVL) and prothrombin G20210A mutation (PTM), which are considered the two most common genetic polymorphisms known to increase the risks of thromboembolism [56–60].",Factor V Leiden (FVL) and prothrombin G20210A mutation (PTM)
What are the common symptoms that should lead to a suspicion of hemophilia?,"Hemophilia should be suspected in patients with history of easy bruising in early childhood, spontaneous bleeding in joints and soft tissues, excessive bleeding during trauma or surgery, and family history of bleeding.","Easy bruising in early childhood, spontaneous bleeding in joints and soft tissues, excessive bleeding during trauma or surgery, and family history of bleeding."
